愛;あい;love
圧縮;あっしゅく;compression, condensation, pressure
集る;あつまる;gather
宛名;あてな;address, direction
あてはまる;あてはまる;be applicable
あてはめる;あてはめる;apply, adapt
当てる;あてる;to hit
跡;あと;trace, tracks, mark, sign, remains, ruins, scar
あと;あと;after, later
穴;あな;hole
アナウンサー;アナウンサー;announcer
暴れる;あばれる;act violently, struggle
浴びる;あびる;*bathe, take a shower, bask in the sun;
油;あぶら;oil
脂;あぶら;fat, lard
アフリカ;アフリカ;Africa
あぶる;あぶる;scorch
あふれる;あふれる;to overflow
雨戸;あまど;(sliding) storm door
甘やかす;あまやかす;pamper, spoil
余り;あまり;remainder, remnant, surplus, balance, excess, scraps, residue
余り;あまり;not very, not much
余る;あまる;remain, be left over, be too many 
編物;あみもの;knitting, web
編む;あむ;to knit, to braid, compile (anthology, dictionary, etc.), edit
飴;あめ;candy
アメリカ;アメリカ;America
危うい;あやうい;dangerous, watch out!
怪しい;あやしい;suspicious, doubtful
誤り;あやまり;error
あら;あら;oh, ah
荒い;あらい;rough, rude, wild
粗い;あらい;coarse, rough
嵐;あらし;storm
あらすじ;あらすじ;outline, summary
争う;あらそう;argue, dispute
新た;あらた;new, fresh
改めて;あらためて;again
改める;あらためる;to change, alter, reform, revise
あらゆる;あらゆる;all, every
表す;あらわす;express, show, reveal 
現す;あらわす;indicate, show, display
著す;あらわす;write, publish
現れ;あらわれ;embodiment
現れる;あらわれる;appear, embody, express oneself 
有難い;ありがたい;grateful, thankful, welcome, appreciated
ありがとう;ありがとう;thank you
有る;ある;*to be, to have;
在る;ある;to live, to be
或;ある;a certain..., some... ;
あるいは;あるいは;or, possibly
アルバム;アルバム;album
あれこれ;あれこれ;one thing or another, this and that
荒れる;あれる;be stormy, lose one's temper
泡;あわ;bubble, foam, froth
合わせる;あわせる;join together, connect, unite, combine, add up, mix, match, overlap, be opposite, face, compare, check with
あわただしい;あわただしい;busy, hurried, confused
あわてる;あわてる;become confused, disconcerted, disorganized
哀れ;あわれ;helpless, pathos, pity, sorrow, grief, misery, compassion
案;あん;plan, suffix meaning draft
安易;あんい;easygoing
案外;あんがい;unexpectedly
暗記;あんき;memorization
安心;あんしん;peace of mind
安定;あんてい;stability, equilibrium
アンテナ;アンテナ;antenna
案内;あんない;information, guidance
あんなに;あんなに;to that extent, to that degree 
あんまり;あんまり;not very, not much, remainder, rest, remnant, surplus, balance, excess, remains, residue, other, fullness, too much 
胃;い;stomach
~位;~い;rank, position, place
いえ;いえ;(negative interjection)
言い出す;いいだす;start talking, propose, suggest, break the ice
言い付ける;いいつける;tell, tell on (someone), to order, to charge, to direct
委員;いいん;committee member
言う;ゆう, いう;to say 
以外;いがい;except for, other than
意外;いがい;unexpected, surprising
息;いき;breath, tone
意義;いぎ;meaning, significance
生き生き;いきいき;vividly, lively
勢い;いきおい;force, vigor, energy, spirit, life, authority, influence, power, might, tendency, necessarily
いきなり;いきなり;abruptly, suddenly, all of a sudden, without warning 
生き物;いきもの;animal
幾~;いく~;some, several, how many?, how much? 
育児;いくじ;childcare, nursing, upbringing
幾つ;いくつ;*how many?, how old?;
幾分;いくぶん;somewhat
幾ら;いくら;*how much?, how many?
いけない;いけない;must not do, bad, wrong
生け花;いけばな;flower arrangement
以後;いご;from now on, thereafter
以降;いこう;on and after, hereafter, thereafter
イコール;イコール;equal
勇ましい;いさましい;brave, valiant, gallant, courageous
医師;いし;doctor
意思;いし;intention, purpose
意志;いし;will, volition
維持;いじ;maintenance, preservation
意識;いしき;consciousness, senses
異常;いじょう;strangeness, abnormality, disorder
衣食住;いしょくじゅう;necessities of life (food, clothing, etc.)
意地悪;いじわる;malicious, ill-tempered, unkind
椅子;いす;*chair
泉;いずみ;spring, fountain
いずれ;いずれ;where, which, who, anyway, anyhow, at any rate
以前;いぜん;ago, since, before, previous
板;いた;board, plank
偉大;いだい;greatness
抱く;いだく;embrace, hug, harbour, entertain, sleep with 
いたずら;いたずら;tease, prank, trick, practical joke, mischief 
いただきます;いただきます;expression of gratitude before meals
頂く;いただく;*receive, take food or drink;
痛み;いたみ;pain, ache, sore, grief, distress
至る;いたる;come, arrive
~いち;~いち;the best in ~
位置;いち;location, position;
位置;いち;location, position;
一応;いちおう;once, tentatively, in outline, for the time being 
一時;いちじ;one hour, short time, once, temporarily, at one time
一段と;いちだんと;greater, more, further, still more
一度に;いちどに;all at once
市場;いちば;town market, the marketplace (economics)
一流;いちりゅう;foremost, top-notch, unique
何時か;いつか;sometime, some day;
一家;いっか;house, home, a family, a household, one's family, one's folks, a style 
一昨日;いっさくじつ;day before yesterday
一昨年;いっさくねん;year before last
一種;いっしゅ;species, kind, variety 
一瞬;いっしゅん;moment, instant
一生;いっしょう;lifetime, all through life, generation, age, era, the whole world
一斉;いっせい;simultaneous
一層;いっそう;much more, still more, all the more
一体;いったい;one object, one body, generally, what on earth? really? 
一旦;いったん;once, for a moment, one morning, temporarily
一致;いっち;coincidence, agreement, union, match, conformity, consistency, cooperation
一定;いってい;fixed, settled, definite, uniform, regularized, standardized, prescribed 
いっていらっしゃい, いってらっしゃい;いっていらっしゃい, いってらっしゃい;Goodbye (said to person leaving home, polite);
いってまいります;いってまいります;Goodbye (said by person leaving home to family member)
いってきます;いってきます;Goodbye (said by person leaving home)
いつでも;いつでも;(at) any time, always, at all times, never (with negative verb), whenever
いつのまにか;いつのまにか;before one knows, unnoticed, unawares 
一般;いっぱん;general, universal, ordinary, average, liberal
一方;いっぽう;one side, one way, one direction, one party, the other party, on the other hand, meanwhile, only, simple, in turn
いつまでも;いつまでも;forever, for good, eternally, as long as one likes, indefinitely
移転;いてん;moving, transfer, demise
井戸;いど;water well
緯度;いど;latitude (geography)
移動;いどう;removal, migration, movement
従兄弟;いとこ;male cousin
従姉妹;いとこ;female cousin
犬;いぬ;dog
稲;いね;rice plant
居眠り;いねむり;dozing, nodding off
命;いのち;(mortal) life
威張る;いばる;swagger, be proud
違反;いはん;violation (of law), transgression
衣服;いふく;clothes
居間;いま;living room (Western style)
今に;いまに;before long, even now
今にも;いまにも;at any time, soon
イメージ;イメージ;(one's) image
否;いや;no, nay, yes, well
嫌がる;いやがる;hate, dislike
いよいよ;いよいよ;more and more, all the more, increasingly, at last, beyond doubt 
以来;いらい;since, henceforth
依頼;いらい;request, commission, dispatch, dependence, trust
いらいら;いらいら;getting nervous, irritation
いらっしゃい;いらっしゃい;welcome!
医療;いりょう;medical care, medical treatment
煎る, 炒る;いる;parch, fry, broil, roast
入れ物;いれもの;container, case, receptacle 
岩;いわ;rock, crag
祝い;いわい;celebration, festival
祝う;いわう;congratulate, celebrate
言わば;いわば;so to speak, so to call it, as it were 
いわゆる;いわゆる;the so-called, so to speak
インク, インキ;インク, インキ;ink;
印刷;いんさつ;printing
印象;いんしょう;impression
引退;いんたい;retire
インタビュー;インタビュー;interview
引用;いんよう;quotation, citation
引力;いんりょく;gravity
ウイスキー;ウイスキー;whiskey
ウーマン;ウーマン;woman
ウール;ウール;wool
ウエートレス;ウエートレス;waitress
植木;うえき;garden shrubs, trees, potted plant 
飢える;うえる;starve
魚;うお;fish
うがい;うがい;gargle, rinse mouth
伺う;うかがう;(polite) visit, ask, inquire, hear, be told, implore (a god for an oracle)
浮ぶ;うかぶ;float, rise to surface, come to mind
浮かべる;うかべる;float, express, look (sad, glad) 
浮く;うく;float, become merry, become loose
承る;うけたまわる;(humble) hear, be told, know
受取;うけとり;receipt
受け取る;うけとる;to receive, to get, to accept, to take, to interpret, to understand
受け持つ;うけもつ;take (be in) charge of
動かす;うごかす;move, shift, set in motion, operate, inspire,, rouse, ,influence, mobilize, deny, change
兎;うさぎ;rabbit, hare
牛;うし;cattle, cow
失う;うしなう;lose, part with
薄暗い;うすぐらい;dim, gloomy
薄める;うすめる;dilute
嘘;うそ;*lie, falsehood;
疑う;うたがう;doubt, distrust, be suspicious of, suspect
内;うち;*inside;
家;うち;*(one's own) home;
うち;うち;between, among, within, while
打合せ;うちあわせ;business meeting, appointment, previous arrangement  
打ち消す;うちけす;deny, negate, contradict 
宇宙;うちゅう;universe, cosmos, space
討つ;うつ;attack, avenge 
撃つ;うつ;attack, defeat, destroy
うっかり;うっかり;carelessly, thoughtlessly, inadvertently
映す;うつす;project, reflect, cast (shadow)
移す;うつす;remove, transfer, infect
訴える;うったえる;sue (a person), resort to, appeal to
写る;うつる;be photographed, be projected
映る;うつる;be reflected, harmonize with
うどん;うどん;noodles
うなずく;うなずく;nod, bow one's head in assent 
うなる;うなる;groan, moan, roar, howl, growl, hum, buzz
奪う;うばう;snatch away
馬;うま;horse
生まれ;うまれ;birth, birth-place
有無;うむ;yes or no, existence, presence or absence marker
梅;うめ;plum, plum-tree, lowest (of a three-tier ranking system)
埋める;うめる;bury (e.g. one's face in hands)
敬う;うやまう;show respect, to honour
裏返す;うらがえす;turn inside out, turn the other way, turn over
裏切る;うらぎる;betray, double-cross
裏口;うらぐち;back door, rear entrance
占う;うらなう;forecast, predict
恨み;うらみ;resentment
恨む;うらむ;feel bitter 
羨ましい;うらやましい;envious, enviable
羨む;うらやむ;envy
売上;うりあげ;amount sold, proceeds 
売り切れ;うりきれ;sold out
売り切れる;うりきれる;be sold out
嬉しい;うれしい;*joyful, delightful
売行き;うれゆき;sales
売れる;うれる;be sold
うろうろ;うろうろ;loiteringly, aimless wandering
上~;うわ~;over-, upper, outer
噂;うわさ;rumour, report, gossip
運;うん;fortune, luck
運河;うんが;canal
運転;うんてん;operation, motion, driving
うんと;うんと;a great deal, very much, a lot 
運動;うんどう;motion, exercise
え;え;（感）
永遠;えいえん;eternity, perpetuity, immortality, permanence
永久;えいきゅう;eternity, perpetuity, immortality
影響;えいきょう;influence, effect
営業;えいぎょう;business, trade, sales, operations
衛星;えいせい;satellite
英文;えいぶん;sentence in English
栄養;えいよう;nutrition, nourishment
英和;えいわ;English-Japanese (e.g. dictionary)
ええと;ええと;let me see, well, errr... 
笑顔;えがお;smiling face
描く;えがく;draw, paint, sketch, depict, describe 
液体;えきたい;liquid, fluid
餌;えさ;bait, feed
エチケット;エチケット;etiquette
エネルギー;エネルギー;energy (German: Energie)
絵の具;えのぐ;colors, paints 
エプロン;エプロン;apron
偉い;えらい;great, celebrated, eminent, terrible, awful, famous, remarkable, excellent
得る;える;get, gain, win
得る;うる;obtain, acquire
円;えん;yen, circle
~園;~えん;garden, park
宴会;えんかい;party, banquet
延期;えんき;postponement, adjournment
演技;えんぎ;acting, performance
園芸;えんげい;horticulture, gardening
演劇;えんげき;theatre play
円周;えんしゅう;circumference
援助;えんじょ;assistance, aid, support
エンジン;エンジン;engine
演説;えんぜつ;speech, address
演奏;えんそう;musical performance
遠足;えんそく;trip, hike, picnic
延長;えんちょう;extension, elongation, prolongation, lengthening
煙突;えんとつ;chimney
遠慮;えんりょ;diffidence, restraint, reserve
御;お;honorific prefix
御~;おん~;
おい;おい;hey!
追い掛ける;おいかける;pursue, chase
追い越す;おいこす;to pass (e.g. car), outdistance
追い付く;おいつく;overtake, catch up (with)
おいでになる;おいでになる;(polite) to be
オイル;オイル;oil, engine oil, kerosene
王;おう;king
追う;おう;chase
応援;おうえん;aid, assistance, help, reinforcement, support, cheering
王様;おうさま;king
王子;おうじ;prince
王女;おうじょ;princess
応じる;おうじる;respond, satisfy, accept, comply with, apply for
応ずる;おうずる;answer, respond, meet, satisfy, accept
応接;おうせつ;reception
応対;おうたい;receiving, dealing with
横断;おうだん;crossing
往復;おうふく;round trip, coming and going, return ticket
欧米;おうべい;Europe and America, the West
応用;おうよう;application, put to practical use
終える;おえる;to finish
おお;おお;（感）
大~;おお~;large
大いに;おおいに;very, much, greatly
覆う;おおう;cover, hide, conceal, wrap, disguise 
オーケストラ;オーケストラ;orchestra
おおざっぱ;おおざっぱ;rough (not precise), broad, sketchy
大通り;おおどおり;main street
オートメーション;オートメーション;automation
オーバーコート;オーバーコート;overcoat
大家;おおや;landlord, landlady 
大凡;おおよそ;about, roughly, approximately, as a rule 
丘;おか;hill
おかえり;おかえり;(polite) return, welcome 
おかけください;おかけください;
おかげさまで;おかげさまで;thanks to you, thanks for asking
おかず;おかず;side dish, accompaniment for rice dishes
おかまいなく おかまいなく;(polite) please don't fuss over me 
拝む;おがむ;worship, beg
お代わり;おかわり;second helping, another cup 
沖;おき;open sea
補う;おぎなう;compensate for
おきのどくに;おきのどくに;（感）
奥;おく;interior
屋外;おくがい;outdoors
送り仮名;おくりがな;kana written after a kanji to complete the full (usually kun) reading of the word
送る;おくる;send (a thing), take or escort (a person somewhere), see off (a person), spend a period of time, live a life
贈る;おくる;send, give to, award to, confer on
おげんきで;おげんきで;（感）
起す;おこす;raise, cause, wake someone
怠る;おこたる;neglect, be off guard, be feeling better
起こる;おこる;occur, happen
押える;おさえる;stop, restrain, seize, repress, suppress, press down
おさきに;おさきに;before, previously, (please go) ahead 
幼い;おさない;very young, childish
収める, 納める;おさめる;obtain, reap, pay, supply, accept
治める;おさめる;govern, manage, subdue
惜しい;おしい;regrettable, disappointing, precious
御辞儀;おじぎ;bow
小父さん;おじさん;middle-aged gentleman, uncle 
おしゃれ;おしゃれ;smartly dressed, someone smartly dressed, fashion-conscious 
おしゃべり;おしゃべり;talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth
おじゃまします;おじゃまします;excuse me for disturbing (interrupting) you 
おせわになりました;おせわになりました;be indebted 
汚染;おせん;pollution, contamination
おそらく;おそらく;perhaps
恐れる;おそれる;to fear, be afraid of 
恐ろしい;おそろしい;terrible, dreadful
教わる;おそわる;be taught
おだいじに;おだいじに;take care (of yourself)!
お互い;おたがい;mutual, reciprocal, each other 
穏やか;おだやか;calm, gentle, quiet
落着く;おちつく;calm down, settle in, be steady
夫;おっと;(humble) (my) husband
御手洗;おてあらい;toilet, restroom, lavatory, bathroom (US)
お出掛け;おでかけ;about to start out, just about to leave or go out 
お手伝いさん;おてつだいさん;maid
おどかす;おどかす;threaten, coerce 
男の人;おとこのひと;man
落し物;おとしもの;lost property
おとなしい;おとなしい;obedient, docile, quiet
劣る;おとる;fall behind, be inferior to
驚かす;おどろかす;surprise, frighten, create a stir
鬼;おに;ogre, demon
おねがいします;おねがいします;（polite） please
各々;おのおの;each, every, either, respectively, severally 
小母さん;おばさん;lady, woman, ma'am
おはよう;おはよう;Good morning 
帯;おび;kimono sash
お昼;おひる;lunch, noon 
オフィス;オフィス;office
溺れる;おぼれる;be drowned, indulge in
お参り;おまいり;worship, shrine visit 
おまえ;おまえ;you (singular) 
おまたせしました;おまたせしました;（sorry for）the wait, (I have) kept (you) waiting
おまちください;おまちください;（polite） please wait a bit
おまちどおさま;おまちどおさま;I'm sorry to have kept you waiting 
おまわりさん;おまわりさん;policeman (friendly term)
おめでたい;おめでたい;happy event, matter for congratulation, pregnancy 
おめでとう;おめでとう;Congratulations!
お目に掛かる;おめにかかる;to see or meet someone
思い掛けない;おもいがけない;unexpected, casual 
思い切り;おもいきり;resolution, with all one's strength, resignation
思い込む;おもいこむ;be under impression that, be convinced that, imagine that, set one's heart on, be bent on
思いっ切り;おもいっきり;
思い付く;おもいつく;think of, hit upon, come into one's mind
思い出;おもいで;memories, recollections, reminiscence 
重たい;おもたい;heavy, massive, serious, important, severe, oppressed
主に;おもに;mainly, primarily
思わず;おもわず;unintentional, spontaneous
親;おや;parents
おやすみ;おやすみ;holiday, absence, rest, Good night!
おやつ;おやつ;afternoon refreshment, afternoon tea, mid-day snack 
親指;おやゆび;thumb
泳ぎ;およぎ;swimming
およそ;およそ;about, roughly, approximately, as a rule
及ぼす;およぼす;exert, cause, exercise
居る;おる;*be here (polite);
折る;おる;break, fold, pick (flower)
オルガン;オルガン;organ
下す, 降ろす;おろす;take down, launch, drop, lower, let (a person) off, unload, discharge 
卸す;おろす;sell wholesale, grated (vegetables)
終;おわり;the end
終る;おわる;finish, close
音;おん;sound, (music) note
恩;おん;favour, obligation, debt of gratitude
恩恵;おんけい;grace, favor, blessing, benefit
温室;おんしつ;greenhouse
温泉;おんせん;spa, hot spring
温帯;おんたい;temperate zone
温暖;おんだん;warmth
御中;おんちゅう;and Company, Messrs.
温度;おんど;temperature
女の人;おんなのひと;woman
可;か;passable
蚊;か;mosquito
課;か;counter for chapters (of a book)
~日;~か;counter for days
~下;~か;sub-, under
~化;~か;change of form
~科;~か;department, section
~歌;~か;song, poem
画~;が~;art
~画;~が;picture, film
カー;カー;car
カード;カード;card, curd
カーブ;カーブ;curve, curve ball (baseball)
会;かい;meeting, assembly, party, association, club;
回;かい;counter for occurrences
貝;かい;shell, shellfish
害;がい;injury, harm, damage, evil influence
外~;がい~;external, outer, peripheral
~外;~がい;outside, extra
会員;かいいん;member, the membership
絵画;かいが;picture
開会;かいかい;opening of a meeting
海外;かいがい;foreign, abroad, overseas
会館;かいかん;meeting hall, assembly hall
会計;かいけい;account, finance, accountant, treasurer, paymaster, reckoning, bill
解決;かいけつ;settlement, solution, resolution
会合;かいごう;meeting, assembly
外交;がいこう;diplomacy
改札;かいさつ;examination of tickets
解散;かいさん;breakup, dissolution
開始;かいし;start, commencement, beginning
解釈;かいしゃく;explanation, interpretation
外出;がいしゅつ;outing, going out
海水浴;かいすいよく;sea bathing, seawater bath
回数;かいすう;number of times, frequency
回数券;かいすうけん;book of tickets
改正;かいせい;revision, amendment, alteration
快晴;かいせい;good weather
解説;かいせつ;explanation, commentary
改善;かいぜん;betterment, improvement, incremental and continuous improvement
改造;かいぞう;remodeling
開通;かいつう;opening, open
快適;かいてき;pleasant, agreeable, comfortable
回転;かいてん;rotation, revolution, turning
解答;かいとう;answer, solution
回答;かいとう;reply, answer
外部;がいぶ;the outside, external
回復;かいふく;recovery (from illness), improvement, rehabilitation, restoration
解放;かいほう;release, liberation, emancipation
開放;かいほう;open, throw open, liberalization
海洋;かいよう;ocean
概論;がいろん;introduction, outline, general remarks
飼う;かう;keep, raise, feed
却って;かえって;on the contrary, rather, all the more, instead
代える, 替える, 換える;かえる;exchange, interchange, substitute, replace
反る;かえる;change, turn over, turn upside down
帰る;かえる;go back, go home, come home, return
家屋;かおく;house, building
香り;かおり;aroma, fragrance, scent, smell 
画家;がか;painter, artist
抱える;かかえる;hold or carry under or in the arms
価格;かかく;price, value, cost
化学;かがく;chemistry
輝く;かがやく;shine, glitter, sparkle
係;かかり;official, duty, person in charge 
掛かる;かかる;*take (time), need, cost;
罹る;かかる;suffer from
係わる;かかわる;concern oneself in, have to do with, affect, influence
鍵;かぎ;*key;
書留;かきとめ;writing down, putting on record
書取;かきとり;dictation
垣根;かきね;hedge
限り;かぎり;limit(s), as far as possible, as much as possible, to the best of one's ability
限る;かぎる;to limit, restrict, confine
掻く;かく;scratch, perspire, shovel, paddle
かく;かく;（汗を~） sweat, perspire
各~;かく~ ;each, every
嗅ぐ;かぐ;sniff, smell
家具;かぐ;furniture
学;がく;learning, scholarship, erudition, knowledge
額;がく;picture (framed), amount (of money)
架空;かくう;aerial, overhead, fiction, fanciful
覚悟;かくご;resolution, resignation, readiness, preparedness
各自;かくじ;individual, each
確実;かくじつ;certainty, reliability, soundness
学者;がくしゃ;scholar
拡充;かくじゅう;expansion
学習;がくしゅう;study, learning
学術;がくじゅつ;science, learning, scholarship
拡大;かくだい;magnification, enlargement
各地;かくち;every place, various places
拡張;かくちょう;expansion, extension, enlargement, escape
角度;かくど;angle
確認;かくにん;affirmation, confirmation
学年;がくねん;year in school, grade in school
学部;がくぶ;department of a university, undergraduate
格別;かくべつ;exceptional
学問;がくもん;scholarship, study, learning
確率;かくりつ;probability
学力;がくりょく;scholarship, knowledge, literary ability
隠れる;かくれる;hide, be hidden, conceal oneself, disappear
影, 陰;かげ;shade, shadow, other side
掛け算;かけざん;multiplication
可決;かけつ;approval, adoption (e.g. motion, bill), passage
~箇月;~かげつ;(number of) months
掛ける;かける;wear, put on, hang, cover, sit down, make a phone call, multiply, turn on (a switch), play (a record), begin to
欠ける;かける;be lacking
加減;かげん;addition and subtraction, degree, extent, measure, chance
過去;かこ;the past, bygone days, the previous
籠;かご;basket, cage 
火口;かこう;crater
下降;かこう;downward, descent, fall, drop
囲む;かこむ;surround
火災;かさい;conflagration, fire
重なる;かさなる;be piled up, lie on top of one another, overlap each other
重ねる;かさねる;pile up, add, repeat
飾り;かざり;decoration
火山;かざん;volcano
貸し;かし;loan, lending
菓子;かし;pastry
家事;かじ;housework, domestic chores
賢い;かしこい;wise, clever, smart
かしこまりました;かしこまりました;(polite) certainly!
貸し出し;かしだし;lending, loaning
過失;かしつ;error, blunder, accident
果実;かじつ;fruit, nut, berry
貸間;かしま;room to let
貸家;かしや;house for rent
歌手;かしゅ;singer
個所;かしょ;passage, place, point, part
過剰;かじょう;excess
かじる;かじる;chew, bite (at), gnaw, nibble, munch, crunch, have a smattering of 
数;かず;number, figure 
ガス;ガス;gas
風邪;かぜ;common cold
課税;かぜい;taxation
下線;かせん;underline 
稼ぐ;かせぐ;earn income, to labor
カセット;カセット;cassette tape;
数える;かぞえる;count
加速;かそく;acceleration
加速度;かそくど;acceleration
方;かた;*polite way of indicating person;
型;かた;mold, model, style, shape, data type
肩;かた;shoulder
~方;~かた;person, way of doing
固い;かたい;firm (not viscous or easily moved), stubborn, certain, solemn
堅い;かたい;hard (especially wood), steadfast, honorable, stuffy writing
硬い;かたい;solid, hard (especially metal, stone), unpolished writing
方々;かたがた;persons, all people, this and that, here and there, everywhere, any way, all sides 
片付く;かたづく;be put in order, be put to rights, be disposed of, be solved, be finished, be married (off)
刀;かたな;sword, blade
塊;かたまり;lump, mass, clod, cluster 
固まる;かたまる;harden, solidify, become firm, become certain
片道;かたみち;one-way (trip)
傾く;かたむく;incline toward, slant, lurch, be disposed to, go down (sun), wane, sink, decline
片寄る;かたよる;be one-sided, partial, prejudiced, biased, lean, be inclined 
語る;かたる;talk, tell, recite
勝ち;かち;win, victory
価値;かち;value, worth, merit
~がち;~がち;
学科;がっか;study subject, course of study
学会;がっかい;scientific society, academic meeting
がっかり;がっかり;feel disappointed, be dejected, lose heart, feel emotionally drained, feel let down
活気;かっき;energy, liveliness
楽器;がっき;musical instrument
学期;がっき;school term
学級;がっきゅう;grade in school
担ぐ;かつぐ;carry on shoulder
括弧;かっこ;parenthesis, brackets
格好;かっこう;*shape, form, appearance, manner;
活字;かつじ;printing type
勝手に;かってに;arbitrarily, of it's own accord, involuntarily, wilfully, as one pleases 
活動;かつどう;action, activity
活躍;かつやく;activity
活用;かつよう;conjugation, practical use
活力;かつりょく;vitality, energy
仮定;かてい;assumption, supposition, hypothesis
家庭;かてい;home, family, household
過程;かてい;a process
課程;かてい;course, curriculum
仮名;かな;kana, alias, pseudonym, pen name
悲しむ;かなしむ;be sad, mourn for, regret 
仮名遣い;かなづかい;kana orthography, syllabary spelling 
必ずしも;かならずしも;(not) always, (not) necessarily, (not) all, (not) entirely
かなり;かなり;considerably, fairly, quite 
金;かね;money, metal
鐘;かね;bell, chime
加熱;かねつ;heating
兼ねる;かねる;hold (position), serve, be unable, be beyond one's ability, cannot, hesitate to, combine with, use with, be impatient
可能;かのう;possible, practicable, feasible
カバー;カバー;cover (book, magazine, etc.)
過半数;かはんすう;majority
かび;かび;pomp, splendor, gaudiness, mold, mildew
株;かぶ;share, stock, stump (of tree) 
被せる;かぶせる;cover (with something), plate something (with a metal), pour or dash a liquid (on something)
被る;かぶる;*wear, put on (head), pour or dash water (on oneself);
釜;かま;iron pot, kettle
構う;かまう;mind, care about, be concerned about
我慢;がまん;patience, endurance, perseverance, tolerance, self-control, self-denial
上;かみ;top, head, upper part, emperor, a superior, upper part of the body, the above
神;かみ;god
髪;かみ;hair
紙屑;かみくず;wastepaper
神様;かみさま;god
剃刀;かみそり;razor
雷;かみなり;thunder
髪の毛;かみのけ;hair (on head) 
噛む;かむ;*bite, chew, gnaw ;
ガム;ガム;chewing gum;
科目;かもく;(school) subject, curriculum, course 
かもしれない;かもしれない;may, might, perhaps, may be, possibly
貨物;かもつ;cargo, freight, money or assets 
かゆい;かゆい;itchy, itching
歌謡;かよう;song, ballad
空;から;emptiness
殻;から;shell, husk, hull, chaff
柄;がら;pattern, design
カラー;カラー;collar, color
からかう;からかう;ridicule, tease, banter with, make fun of
空っぽ;からっぽ;empty, vacant, hollow
彼等;かれら;they (usually male)
刈る;かる;cut (hair), mow (grass), clip, shear, trim, prune, harvest, reap
~がる;~がる;feel
かるた;かるた;playing cards
彼等;かれら;they (usually male)
枯れる;かれる;wither, die (plant) 
カロリー;カロリー;calorie
皮;かわ;skin, hide, leather, fur, pelt, bark, shell
革;かわ;leather
かわいがる;かわいがる;love, be affectionate
かわいそう;かわいそう;poor, pitiable, pathetic 
かわいらしい;かわいらしい;lovely, sweet
乾かす;かわかす;to dry 
渇く;かわく;be thirsty
為替;かわせ;money order, exchange
瓦;かわら;roof tile
代る;かわる;take the place of, relieve, be substituted for, be exchanged, change places with, take turns, be replaced
缶;かん;can, tin
勘;かん;perception, intuition
~刊;~かん;publication, issue
~間;~かん;interval
~巻;~かん;volume, reel (of film)
~館;~かん;house, hall, building, hotel, inn, guesthouse 
~感;~かん;sense, feeling
考え;かんがえ;thinking, thought, ideas, intention
感覚;かんかく;sense, sensation
間隔;かんかく;space, interval
換気;かんき;ventilation
観客;かんきゃく;audience, spectator(s)
環境;かんきょう;environment, circumstance
歓迎;かんげい;welcome, reception
感激;かんげき;deep emotion, impression, inspiration
観光;かんこう;sightseeing
関西;かんさい;Kansai (SW half of Japan, including Osaka) 
観察;かんさつ;observation, survey
感じ;かんじ;feeling, sense, impression
元日;がんじつ;New Year's Day
感謝;かんしゃ;thanks, gratitude
患者;かんじゃ;a patient
